Customer_ID,Customer_Name,Gender,Age_Group,Country,Customer_Segment
C0001,Customer 1,Male,18-25,India,Regular
C0002,Customer 2,Female,36-45,India,New
C0003,Customer 3,Male,46+,UAE,Regular
C0004,Customer 4,Male,26-35,UK,Regular
C0005,Customer 5,Female,26-35,USA,Regular
C0006,Customer 6,Male,26-35,Germany,New
C0007,Customer 7,Male,36-45,Germany,New
C0008,Customer 8,Male,18-25,Australia,Premium
C0009,Customer 9,Female,46+,UAE,Premium
C0010,Customer 10,Female,26-35,USA,Premium
C0011,Customer 11,Male,18-25,UAE,Premium
C0012,Customer 12,Male,26-35,USA,New
C0013,Customer 13,Male,18-25,UAE,New
C0014,Customer 14,Male,26-35,Germany,Regular
C0015,Customer 15,Female,26-35,UAE,New
C0016,Customer 16,Female,18-25,Australia,Regular
C0017,Customer 17,Male,46+,Germany,Regular
C0018,Customer 18,Female,18-25,Australia,Regular
C0019,Customer 19,Male,26-35,India,Regular
C0020,Customer 20,Male,18-25,UK,Regular
C0021,Customer 21,Female,18-25,UK,Premium
C0022,Customer 22,Female,36-45,UK,Regular
C0023,Customer 23,Male,18-25,UAE,Regular
C0024,Customer 24,Female,26-35,Australia,New
C0025,Customer 25,Male,36-45,USA,New
C0026,Customer 26,Female,26-35,Germany,Premium
C0027,Customer 27,Female,46+,UAE,Premium
C0028,Customer 28,Male,46+,Australia,Regular
C0029,Customer 29,Female,26-35,Germany,New
C0030,Customer 30,Male,26-35,USA,Regular
C0031,Customer 31,Male,18-25,UAE,New
C0032,Customer 32,Female,26-35,Australia,Premium
C0033,Customer 33,Male,26-35,Australia,New
C0034,Customer 34,Male,18-25,Australia,Regular
C0035,Customer 35,Female,26-35,UAE,New
C0036,Customer 36,Male,46+,India,Premium
C0037,Customer 37,Male,18-25,India,New
C0038,Customer 38,Male,36-45,Germany,New
C0039,Customer 39,Male,26-35,UK,New
C0040,Customer 40,Female,36-45,India,Regular
C0041,Customer 41,Female,18-25,Australia,Regular
C0042,Customer 42,Female,46+,UK,Regular
C0043,Customer 43,Male,46+,India,Regular
C0044,Customer 44,Male,36-45,Germany,Regular
C0045,Customer 45,Male,18-25,UAE,Regular
C0046,Customer 46,Male,46+,India,Premium
C0047,Customer 47,Female,18-25,India,Regular
C0048,Customer 48,Male,46+,Australia,Regular
C0049,Customer 49,Male,46+,UAE,Regular
C0050,Customer 50,Female,26-35,UK,Regular
C0051,Customer 51,Male,46+,USA,Premium
C0052,Customer 52,Male,46+,Australia,New
C0053,Customer 53,Male,36-45,UK,Regular
C0054,Customer 54,Female,18-25,Germany,New
C0055,Customer 55,Male,36-45,USA,Premium
C0056,Customer 56,Female,26-35,Germany,Regular
C0057,Customer 57,Male,46+,USA,Premium
C0058,Customer 58,Male,36-45,UAE,Regular
C0059,Customer 59,Male,46+,Australia,Regular
C0060,Customer 60,Female,26-35,Germany,Regular
C0061,Customer 61,Female,26-35,USA,Regular
C0062,Customer 62,Male,26-35,UK,Regular
C0063,Customer 63,Male,26-35,USA,Regular
C0064,Customer 64,Female,26-35,USA,Regular
C0065,Customer 65,Male,36-45,Australia,Regular
C0066,Customer 66,Male,18-25,USA,Premium
C0067,Customer 67,Male,36-45,Australia,Regular
C0068,Customer 68,Female,26-35,India,Regular
C0069,Customer 69,Male,36-45,USA,Regular
C0070,Customer 70,Female,18-25,India,Premium
C0071,Customer 71,Female,26-35,UAE,Regular
C0072,Customer 72,Female,46+,India,Premium
C0073,Customer 73,Female,18-25,Australia,New
C0074,Customer 74,Female,46+,USA,New
C0075,Customer 75,Male,26-35,Australia,Regular
C0076,Customer 76,Female,36-45,UK,New
C0077,Customer 77,Male,46+,USA,Regular
C0078,Customer 78,Male,36-45,Germany,Regular
C0079,Customer 79,Male,46+,UAE,Regular
C0080,Customer 80,Male,36-45,India,Regular
C0081,Customer 81,Female,18-25,India,Regular
C0082,Customer 82,Male,26-35,Australia,Regular
C0083,Customer 83,Male,36-45,India,Regular
C0084,Customer 84,Female,26-35,Australia,Premium
C0085,Customer 85,Male,36-45,UAE,Regular
C0086,Customer 86,Female,26-35,Australia,Regular
C0087,Customer 87,Male,36-45,Australia,New
C0088,Customer 88,Female,46+,Germany,New
C0089,Customer 89,Male,46+,Germany,New
C0090,Customer 90,Female,36-45,India,Regular
C0091,Customer 91,Female,26-35,Germany,New
C0092,Customer 92,Male,26-35,India,Regular
C0093,Customer 93,Male,46+,Australia,Premium
C0094,Customer 94,Male,26-35,UK,Regular
C0095,Customer 95,Female,46+,UK,Regular
C0096,Customer 96,Male,46+,UK,Regular
C0097,Customer 97,Male,36-45,Australia,Regular
C0098,Customer 98,Female,46+,Australia,Regular
C0099,Customer 99,Male,36-45,UK,New
C0100,Customer 100,Female,36-45,Germany,New
C0101,Customer 101,Male,36-45,USA,Regular
C0102,Customer 102,Female,18-25,India,Premium
C0103,Customer 103,Female,26-35,UAE,Premium
C0104,Customer 104,Male,18-25,USA,Premium
C0105,Customer 105,Female,36-45,UAE,Premium
C0106,Customer 106,Male,26-35,USA,New
C0107,Customer 107,Female,26-35,USA,Regular
C0108,Customer 108,Male,18-25,Australia,Premium
C0109,Customer 109,Female,26-35,Germany,Premium
C0110,Customer 110,Male,46+,Australia,Regular
C0111,Customer 111,Male,36-45,Germany,Premium
C0112,Customer 112,Male,46+,Germany,New
C0113,Customer 113,Female,46+,USA,Regular
C0114,Customer 114,Male,46+,USA,Regular
C0115,Customer 115,Male,26-35,UK,Regular
C0116,Customer 116,Female,36-45,Germany,Regular
C0117,Customer 117,Female,18-25,USA,Regular
C0118,Customer 118,Male,18-25,UAE,Regular
C0119,Customer 119,Female,18-25,UAE,New
C0120,Customer 120,Male,18-25,USA,Regular
C0121,Customer 121,Male,36-45,India,Regular
C0122,Customer 122,Female,36-45,Germany,Premium
C0123,Customer 123,Male,36-45,Germany,Regular
C0124,Customer 124,Female,18-25,UK,Regular
C0125,Customer 125,Female,46+,UK,Regular
C0126,Customer 126,Female,36-45,USA,Regular
C0127,Customer 127,Male,36-45,USA,Regular
C0128,Customer 128,Female,26-35,UAE,Regular
C0129,Customer 129,Male,18-25,Germany,Premium
C0130,Customer 130,Female,18-25,Germany,Regular
C0131,Customer 131,Male,18-25,USA,Regular
C0132,Customer 132,Female,18-25,UAE,Premium
C0133,Customer 133,Female,26-35,Australia,Premium
C0134,Customer 134,Male,26-35,India,Regular
C0135,Customer 135,Female,26-35,India,Regular
C0136,Customer 136,Male,46+,India,Regular
C0137,Customer 137,Male,36-45,USA,Premium
C0138,Customer 138,Female,36-45,USA,Regular
C0139,Customer 139,Female,18-25,Germany,Regular
C0140,Customer 140,Male,46+,UAE,Regular
C0141,Customer 141,Male,46+,UAE,Regular
C0142,Customer 142,Female,46+,India,Regular
C0143,Customer 143,Female,26-35,Germany,New
C0144,Customer 144,Male,18-25,Australia,Regular
C0145,Customer 145,Male,18-25,Germany,Regular
C0146,Customer 146,Male,18-25,USA,New
C0147,Customer 147,Male,46+,India,Premium
C0148,Customer 148,Male,46+,Australia,Regular
C0149,Customer 149,Male,36-45,Australia,Regular
C0150,Customer 150,Male,18-25,UK,Regular
C0151,Customer 151,Female,46+,Australia,Regular
C0152,Customer 152,Female,18-25,Australia,Premium
C0153,Customer 153,Male,18-25,Australia,New
C0154,Customer 154,Male,46+,UK,Regular
C0155,Customer 155,Male,46+,UAE,Regular
C0156,Customer 156,Female,46+,Germany,New
C0157,Customer 157,Male,18-25,UK,Regular
C0158,Customer 158,Male,46+,Germany,Premium
C0159,Customer 159,Female,36-45,UAE,Regular
C0160,Customer 160,Female,18-25,UAE,Regular
C0161,Customer 161,Female,18-25,USA,Premium
C0162,Customer 162,Female,46+,USA,Regular
C0163,Customer 163,Female,26-35,Germany,Regular
C0164,Customer 164,Male,36-45,UK,Regular
C0165,Customer 165,Male,18-25,UK,Regular
C0166,Customer 166,Male,36-45,UAE,Premium
C0167,Customer 167,Female,36-45,UAE,Regular
C0168,Customer 168,Female,46+,USA,New
C0169,Customer 169,Male,36-45,UAE,Regular
C0170,Customer 170,Female,46+,Australia,New
C0171,Customer 171,Female,18-25,Germany,New
C0172,Customer 172,Male,36-45,India,Regular
C0173,Customer 173,Female,36-45,Germany,New
C0174,Customer 174,Male,26-35,USA,Regular
C0175,Customer 175,Male,36-45,UK,New
C0176,Customer 176,Female,46+,UAE,Regular
C0177,Customer 177,Male,18-25,Germany,Premium
C0178,Customer 178,Male,36-45,Australia,Regular
C0179,Customer 179,Male,26-35,UK,Regular
C0180,Customer 180,Female,36-45,UAE,Regular
C0181,Customer 181,Male,18-25,USA,Regular
C0182,Customer 182,Female,26-35,UK,Premium
C0183,Customer 183,Female,46+,India,Premium
C0184,Customer 184,Male,36-45,India,Premium
C0185,Customer 185,Male,46+,India,Regular
C0186,Customer 186,Male,36-45,Australia,New
C0187,Customer 187,Male,46+,India,Regular
C0188,Customer 188,Male,36-45,UK,Regular
C0189,Customer 189,Male,46+,USA,Regular
C0190,Customer 190,Male,36-45,USA,Regular
C0191,Customer 191,Male,26-35,India,Premium
C0192,Customer 192,Female,18-25,UAE,Premium
C0193,Customer 193,Male,36-45,UAE,Premium
C0194,Customer 194,Female,18-25,India,Regular
C0195,Customer 195,Male,26-35,Australia,New
C0196,Customer 196,Female,18-25,Germany,Regular
C0197,Customer 197,Female,46+,India,Regular
C0198,Customer 198,Female,26-35,Germany,Regular
C0199,Customer 199,Male,18-25,Germany,New
C0200,Customer 200,Male,18-25,USA,Regular
C0201,Customer 201,Male,18-25,UAE,Premium
C0202,Customer 202,Male,46+,India,Premium
C0203,Customer 203,Female,18-25,Australia,Premium
C0204,Customer 204,Female,36-45,USA,New
C0205,Customer 205,Female,26-35,UK,Regular
C0206,Customer 206,Male,26-35,Australia,New
C0207,Customer 207,Male,46+,USA,Regular
C0208,Customer 208,Female,26-35,USA,Regular
C0209,Customer 209,Female,36-45,USA,New
C0210,Customer 210,Male,36-45,Germany,Regular
C0211,Customer 211,Male,26-35,UAE,Premium
C0212,Customer 212,Male,46+,UK,New
C0213,Customer 213,Male,36-45,Germany,New
C0214,Customer 214,Male,26-35,India,Premium
