Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Unit_Price,Discount_%,Revenue,Profit
O00001,2025-08-06,C2511,P101,S028,3,576.0,0,1728.0,777.6
O00002,2025-09-18,C1738,P052,S005,2,44.0,15,74.8,20.67
O00003,2025-09-23,C1860,P013,S008,5,79.2,15,336.6,103.49
O00004,2025-12-24,C2890,P061,S025,3,61.0,5,173.85,47.7
O00005,2024-12-24,C1807,P118,S025,2,49.0,0,98.0,25.07
O00006,2024-10-13,C0799,P106,S008,3,64.8,5,184.68,60.81
O00007,2025-10-27,C1533,P087,S034,3,464.4,20,1114.56,501.55
O00008,2025-02-13,C0460,P053,S013,1,57.0,10,51.3,14.72
O00009,2025-11-04,C2120,P068,S009,2,68.0,10,122.4,22.77
O00010,2025-05-29,C2024,P074,S017,3,190.8,15,486.54,88.34
O00011,2025-07-09,C1692,P170,S022,5,48.0,0,240.0,73.92
O00012,2024-08-19,C1993,P165,S034,2,139.0,5,264.1,87.89
O00013,2024-06-07,C0924,P131,S024,3,73.0,15,186.15,45.05
O00014,2024-09-15,C1474,P004,S013,2,81.0,15,137.7,47.64
O00015,2024-04-21,C0389,P121,S024,5,85.2,0,426.0,141.13
O00016,2025-07-18,C1784,P024,S030,2,89.0,10,160.2,40.83
O00017,2024-01-09,C0917,P094,S016,5,69.6,5,330.6,90.01
O00018,2024-12-07,C2887,P016,S010,2,72.0,20,115.2,34.72
O00019,2025-01-03,C2798,P179,S007,3,89.0,10,240.3,70.56
O00020,2024-01-26,C2924,P080,S001,3,46.0,0,138.0,32.28
O00021,2024-09-01,C1336,P130,S014,5,82.8,20,331.2,104.51
O00022,2025-05-04,C0824,P005,S020,1,153.0,5,145.35,46.15
O00023,2025-10-10,C0837,P118,S009,1,49.0,5,46.55,9.57
O00024,2025-12-29,C1535,P074,S026,3,159.0,20,381.6,131.66
O00025,2025-06-24,C1926,P091,S006,1,555.6,0,555.6,250.02
O00026,2024-04-29,C0753,P110,S029,3,97.2,15,247.86,51.97
O00027,2025-10-08,C1892,P032,S014,4,130.0,15,442.0,133.03
O00028,2025-08-26,C1026,P046,S001,3,139.0,10,375.3,89.19
O00029,2024-04-03,C0404,P149,S003,2,130.0,15,221.0,49.8
O00030,2025-08-21,C1313,P151,S012,5,116.0,5,551.0,189.95
O00031,2024-06-10,C0820,P129,S005,1,51.0,15,43.35,13.83
O00032,2024-05-26,C2776,P085,S019,5,134.0,0,670.0,148.12
O00033,2025-11-19,C2102,P048,S003,2,536.0,10,964.8,434.16
O00034,2025-07-23,C0376,P107,S011,3,82.0,0,246.0,83.98
O00035,2025-10-08,C1227,P123,S010,1,88.8,5,84.36,22.85
O00036,2025-01-05,C1363,P156,S035,3,67.0,20,160.8,43.59
O00037,2025-04-25,C1821,P016,S017,1,60.0,20,48.0,16.35
O00038,2024-11-08,C2048,P175,S006,4,96.0,0,384.0,93.04
O00039,2025-07-26,C2029,P118,S031,4,49.0,10,176.4,47.07
O00040,2024-04-28,C2205,P054,S036,3,126.0,15,321.3,107.3
O00041,2025-09-30,C2160,P077,S003,5,156.0,10,702.0,179.11
O00042,2024-02-19,C0880,P125,S009,2,37.0,20,59.2,18.22
O00043,2025-08-18,C0913,P105,S013,2,81.0,0,162.0,53.9
O00044,2025-12-07,C1375,P063,S011,5,112.0,10,504.0,132.29
O00045,2024-05-02,C1083,P079,S032,3,83.0,0,249.0,84.68
O00046,2025-12-22,C2030,P177,S022,4,126.0,0,504.0,156.14
O00047,2025-03-19,C0192,P159,S033,1,75.0,0,75.0,21.87
O00048,2024-07-25,C0216,P130,S028,2,82.8,5,157.32,34.89
O00049,2025-10-06,C0260,P051,S036,2,129.0,20,206.4,51.06
O00050,2025-12-25,C1637,P070,S033,3,91.0,10,245.7,66.86
O00051,2024-06-28,C1548,P048,S013,2,536.0,0,1072.0,482.4
O00052,2024-05-05,C1687,P058,S005,3,62.0,0,186.0,43.29
O00053,2025-03-18,C1781,P064,S010,2,73.0,20,116.8,31.04
O00054,2024-02-25,C2073,P092,S002,4,133.2,5,506.16,125.98
